DATE_ID,DATE_DAY,DATE_WEEK,DATE_MONTH,DATE_QUARTER,DATE_YEAR,DAY_OF_MONTH,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,DAY_OF_WEEK_ABBREVIATION,DAY_OF_WEEK_LETTER,WEEK_NUMBER,WEEK_NAME,WEEK_ABBREVIATION,WEEK_WITH_YEAR,WEEK_YEAR,WEEK_STARTED_ON,WEEK_ENDED_ON,MONTH_NUMBER,MONTH_NAME,MONTH_ABBREVIATION,MONTH_WITH_YEAR,MONTH_STARTED_ON,MONTH_ENDED_ON,QUARTER_NUMBER,DAY_OF_QUARTER,QUARTER_WITH_YEAR,QUARTER_NAME,QUARTER_ABBREVIATION,QUARTER_STARTED_ON,QUARTER_ENDED_ON,DAY_YEAR,DAY_OF_YEAR,YEAR_STARTED_ON,YEAR_ENDED_ON,IS_WEEKEND,IS_FEDERAL_HOLIDAY,IS_FLEETIO_HOLIDAY,HOLIDAY_NAME
2024-08-19,2024-08-19,2024-08-19,2024-08-01,2024-07-01,2024-01-01,19,1,Monday,Mon,M,34,Week 34,W34,2024-34,2024,2024-08-19,2024-08-25,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,50,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,232,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-20,2024-08-20,2024-08-19,2024-08-01,2024-07-01,2024-01-01,20,2,Tuesday,Tue,T,34,Week 34,W34,2024-34,2024,2024-08-19,2024-08-25,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,51,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,233,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-21,2024-08-21,2024-08-19,2024-08-01,2024-07-01,2024-01-01,21,3,Wednesday,Wed,W,34,Week 34,W34,2024-34,2024,2024-08-19,2024-08-25,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,52,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,234,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-22,2024-08-22,2024-08-19,2024-08-01,2024-07-01,2024-01-01,22,4,Thursday,Thur,R,34,Week 34,W34,2024-34,2024,2024-08-19,2024-08-25,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,53,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,235,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-23,2024-08-23,2024-08-19,2024-08-01,2024-07-01,2024-01-01,23,5,Friday,Fri,F,34,Week 34,W34,2024-34,2024,2024-08-19,2024-08-25,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,54,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,236,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-24,2024-08-24,2024-08-19,2024-08-01,2024-07-01,2024-01-01,24,6,Saturday,Sat,S,34,Week 34,W34,2024-34,2024,2024-08-19,2024-08-25,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,55,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,237,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-08-25,2024-08-25,2024-08-19,2024-08-01,2024-07-01,2024-01-01,25,7,Sunday,Sun,S,34,Week 34,W34,2024-34,2024,2024-08-19,2024-08-25,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,56,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,238,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-08-26,2024-08-26,2024-08-26,2024-08-01,2024-07-01,2024-01-01,26,1,Monday,Mon,M,35,Week 35,W35,2024-35,2024,2024-08-26,2024-09-01,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,57,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,239,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-27,2024-08-27,2024-08-26,2024-08-01,2024-07-01,2024-01-01,27,2,Tuesday,Tue,T,35,Week 35,W35,2024-35,2024,2024-08-26,2024-09-01,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,58,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,240,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-28,2024-08-28,2024-08-26,2024-08-01,2024-07-01,2024-01-01,28,3,Wednesday,Wed,W,35,Week 35,W35,2024-35,2024,2024-08-26,2024-09-01,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,59,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,241,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-29,2024-08-29,2024-08-26,2024-08-01,2024-07-01,2024-01-01,29,4,Thursday,Thur,R,35,Week 35,W35,2024-35,2024,2024-08-26,2024-09-01,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,60,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,242,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-30,2024-08-30,2024-08-26,2024-08-01,2024-07-01,2024-01-01,30,5,Friday,Fri,F,35,Week 35,W35,2024-35,2024,2024-08-26,2024-09-01,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,61,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,243,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-08-31,2024-08-31,2024-08-26,2024-08-01,2024-07-01,2024-01-01,31,6,Saturday,Sat,S,35,Week 35,W35,2024-35,2024,2024-08-26,2024-09-01,8,August,Aug,2024-08,2024-08-01,2024-08-31,3,62,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,244,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-01,2024-09-01,2024-08-26,2024-09-01,2024-07-01,2024-01-01,1,7,Sunday,Sun,S,35,Week 35,W35,2024-35,2024,2024-08-26,2024-09-01,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,63,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,245,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-02,2024-09-02,2024-09-02,2024-09-01,2024-07-01,2024-01-01,2,1,Monday,Mon,M,36,Week 36,W36,2024-36,2024,2024-09-02,2024-09-08,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,64,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,246,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-03,2024-09-03,2024-09-02,2024-09-01,2024-07-01,2024-01-01,3,2,Tuesday,Tue,T,36,Week 36,W36,2024-36,2024,2024-09-02,2024-09-08,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,65,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,247,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-04,2024-09-04,2024-09-02,2024-09-01,2024-07-01,2024-01-01,4,3,Wednesday,Wed,W,36,Week 36,W36,2024-36,2024,2024-09-02,2024-09-08,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,66,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,248,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-05,2024-09-05,2024-09-02,2024-09-01,2024-07-01,2024-01-01,5,4,Thursday,Thur,R,36,Week 36,W36,2024-36,2024,2024-09-02,2024-09-08,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,67,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,249,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-06,2024-09-06,2024-09-02,2024-09-01,2024-07-01,2024-01-01,6,5,Friday,Fri,F,36,Week 36,W36,2024-36,2024,2024-09-02,2024-09-08,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,68,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,250,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-07,2024-09-07,2024-09-02,2024-09-01,2024-07-01,2024-01-01,7,6,Saturday,Sat,S,36,Week 36,W36,2024-36,2024,2024-09-02,2024-09-08,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,69,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,251,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-08,2024-09-08,2024-09-02,2024-09-01,2024-07-01,2024-01-01,8,7,Sunday,Sun,S,36,Week 36,W36,2024-36,2024,2024-09-02,2024-09-08,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,70,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,252,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-09,2024-09-09,2024-09-09,2024-09-01,2024-07-01,2024-01-01,9,1,Monday,Mon,M,37,Week 37,W37,2024-37,2024,2024-09-09,2024-09-15,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,71,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,253,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-10,2024-09-10,2024-09-09,2024-09-01,2024-07-01,2024-01-01,10,2,Tuesday,Tue,T,37,Week 37,W37,2024-37,2024,2024-09-09,2024-09-15,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,72,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,254,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-11,2024-09-11,2024-09-09,2024-09-01,2024-07-01,2024-01-01,11,3,Wednesday,Wed,W,37,Week 37,W37,2024-37,2024,2024-09-09,2024-09-15,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,73,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,255,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-12,2024-09-12,2024-09-09,2024-09-01,2024-07-01,2024-01-01,12,4,Thursday,Thur,R,37,Week 37,W37,2024-37,2024,2024-09-09,2024-09-15,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,74,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,256,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-13,2024-09-13,2024-09-09,2024-09-01,2024-07-01,2024-01-01,13,5,Friday,Fri,F,37,Week 37,W37,2024-37,2024,2024-09-09,2024-09-15,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,75,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,257,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-14,2024-09-14,2024-09-09,2024-09-01,2024-07-01,2024-01-01,14,6,Saturday,Sat,S,37,Week 37,W37,2024-37,2024,2024-09-09,2024-09-15,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,76,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,258,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-15,2024-09-15,2024-09-09,2024-09-01,2024-07-01,2024-01-01,15,7,Sunday,Sun,S,37,Week 37,W37,2024-37,2024,2024-09-09,2024-09-15,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,77,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,259,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-16,2024-09-16,2024-09-16,2024-09-01,2024-07-01,2024-01-01,16,1,Monday,Mon,M,38,Week 38,W38,2024-38,2024,2024-09-16,2024-09-22,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,78,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,260,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-17,2024-09-17,2024-09-16,2024-09-01,2024-07-01,2024-01-01,17,2,Tuesday,Tue,T,38,Week 38,W38,2024-38,2024,2024-09-16,2024-09-22,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,79,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,261,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-18,2024-09-18,2024-09-16,2024-09-01,2024-07-01,2024-01-01,18,3,Wednesday,Wed,W,38,Week 38,W38,2024-38,2024,2024-09-16,2024-09-22,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,80,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,262,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-19,2024-09-19,2024-09-16,2024-09-01,2024-07-01,2024-01-01,19,4,Thursday,Thur,R,38,Week 38,W38,2024-38,2024,2024-09-16,2024-09-22,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,81,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,263,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-20,2024-09-20,2024-09-16,2024-09-01,2024-07-01,2024-01-01,20,5,Friday,Fri,F,38,Week 38,W38,2024-38,2024,2024-09-16,2024-09-22,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,82,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,264,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-21,2024-09-21,2024-09-16,2024-09-01,2024-07-01,2024-01-01,21,6,Saturday,Sat,S,38,Week 38,W38,2024-38,2024,2024-09-16,2024-09-22,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,83,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,265,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-22,2024-09-22,2024-09-16,2024-09-01,2024-07-01,2024-01-01,22,7,Sunday,Sun,S,38,Week 38,W38,2024-38,2024,2024-09-16,2024-09-22,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,84,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,266,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2024-09-23,2024-09-23,2024-09-23,2024-09-01,2024-07-01,2024-01-01,23,1,Monday,Mon,M,39,Week 39,W39,2024-39,2024,2024-09-23,2024-09-29,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,85,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,267,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-24,2024-09-24,2024-09-23,2024-09-01,2024-07-01,2024-01-01,24,2,Tuesday,Tue,T,39,Week 39,W39,2024-39,2024,2024-09-23,2024-09-29,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,86,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,268,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-25,2024-09-25,2024-09-23,2024-09-01,2024-07-01,2024-01-01,25,3,Wednesday,Wed,W,39,Week 39,W39,2024-39,2024,2024-09-23,2024-09-29,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,87,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,269,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-26,2024-09-26,2024-09-23,2024-09-01,2024-07-01,2024-01-01,26,4,Thursday,Thur,R,39,Week 39,W39,2024-39,2024,2024-09-23,2024-09-29,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,88,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,270,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-27,2024-09-27,2024-09-23,2024-09-01,2024-07-01,2024-01-01,27,5,Friday,Fri,F,39,Week 39,W39,2024-39,2024,2024-09-23,2024-09-29,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,89,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,271,2024-01-01,2024-12-31,FALSE,FALSE,FALSE,
2024-09-28,2024-09-28,2024-09-23,2024-09-01,2024-07-01,2024-01-01,28,6,Saturday,Sat,S,39,Week 39,W39,2024-39,2024,2024-09-23,2024-09-29,9,September,Sep,2024-09,2024-09-01,2024-09-30,3,90,2024-3,Quarter 3,Q3,2024-07-01,2024-09-30,2024,272,2024-01-01,2024-12-31,TRUE,FALSE,FALSE,
2023-01-01,2023-01-01,2022-12-26,2023-01-01,2023-01-01,2023-01-01,1,7,Sunday,Sun,S,52,Week 52,W52,2022-52,2022,2022-12-26,2023-01-01,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,1,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,1,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-02,2023-01-02,2023-01-02,2023-01-01,2023-01-01,2023-01-01,2,1,Monday,Mon,M,1,Week 1,W1,2023-01,2023,2023-01-02,2023-01-08,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,2,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,2,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-03,2023-01-03,2023-01-02,2023-01-01,2023-01-01,2023-01-01,3,2,Tuesday,Tue,T,1,Week 1,W1,2023-01,2023,2023-01-02,2023-01-08,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,3,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,3,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-04,2023-01-04,2023-01-02,2023-01-01,2023-01-01,2023-01-01,4,3,Wednesday,Wed,W,1,Week 1,W1,2023-01,2023,2023-01-02,2023-01-08,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,4,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,4,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-05,2023-01-05,2023-01-02,2023-01-01,2023-01-01,2023-01-01,5,4,Thursday,Thur,R,1,Week 1,W1,2023-01,2023,2023-01-02,2023-01-08,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,5,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,5,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-06,2023-01-06,2023-01-02,2023-01-01,2023-01-01,2023-01-01,6,5,Friday,Fri,F,1,Week 1,W1,2023-01,2023,2023-01-02,2023-01-08,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,6,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,6,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-07,2023-01-07,2023-01-02,2023-01-01,2023-01-01,2023-01-01,7,6,Saturday,Sat,S,1,Week 1,W1,2023-01,2023,2023-01-02,2023-01-08,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,7,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,7,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-08,2023-01-08,2023-01-02,2023-01-01,2023-01-01,2023-01-01,8,7,Sunday,Sun,S,1,Week 1,W1,2023-01,2023,2023-01-02,2023-01-08,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,8,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,8,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-09,2023-01-09,2023-01-09,2023-01-01,2023-01-01,2023-01-01,9,1,Monday,Mon,M,2,Week 2,W2,2023-02,2023,2023-01-09,2023-01-15,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,9,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,9,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-10,2023-01-10,2023-01-09,2023-01-01,2023-01-01,2023-01-01,10,2,Tuesday,Tue,T,2,Week 2,W2,2023-02,2023,2023-01-09,2023-01-15,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,10,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,10,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-11,2023-01-11,2023-01-09,2023-01-01,2023-01-01,2023-01-01,11,3,Wednesday,Wed,W,2,Week 2,W2,2023-02,2023,2023-01-09,2023-01-15,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,11,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,11,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-12,2023-01-12,2023-01-09,2023-01-01,2023-01-01,2023-01-01,12,4,Thursday,Thur,R,2,Week 2,W2,2023-02,2023,2023-01-09,2023-01-15,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,12,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,12,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-13,2023-01-13,2023-01-09,2023-01-01,2023-01-01,2023-01-01,13,5,Friday,Fri,F,2,Week 2,W2,2023-02,2023,2023-01-09,2023-01-15,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,13,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,13,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-14,2023-01-14,2023-01-09,2023-01-01,2023-01-01,2023-01-01,14,6,Saturday,Sat,S,2,Week 2,W2,2023-02,2023,2023-01-09,2023-01-15,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,14,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,14,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-15,2023-01-15,2023-01-09,2023-01-01,2023-01-01,2023-01-01,15,7,Sunday,Sun,S,2,Week 2,W2,2023-02,2023,2023-01-09,2023-01-15,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,15,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,15,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-16,2023-01-16,2023-01-16,2023-01-01,2023-01-01,2023-01-01,16,1,Monday,Mon,M,3,Week 3,W3,2023-03,2023,2023-01-16,2023-01-22,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,16,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,16,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-17,2023-01-17,2023-01-16,2023-01-01,2023-01-01,2023-01-01,17,2,Tuesday,Tue,T,3,Week 3,W3,2023-03,2023,2023-01-16,2023-01-22,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,17,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,17,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-18,2023-01-18,2023-01-16,2023-01-01,2023-01-01,2023-01-01,18,3,Wednesday,Wed,W,3,Week 3,W3,2023-03,2023,2023-01-16,2023-01-22,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,18,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,18,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-19,2023-01-19,2023-01-16,2023-01-01,2023-01-01,2023-01-01,19,4,Thursday,Thur,R,3,Week 3,W3,2023-03,2023,2023-01-16,2023-01-22,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,19,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,19,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-20,2023-01-20,2023-01-16,2023-01-01,2023-01-01,2023-01-01,20,5,Friday,Fri,F,3,Week 3,W3,2023-03,2023,2023-01-16,2023-01-22,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,20,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,20,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-21,2023-01-21,2023-01-16,2023-01-01,2023-01-01,2023-01-01,21,6,Saturday,Sat,S,3,Week 3,W3,2023-03,2023,2023-01-16,2023-01-22,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,21,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,21,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-22,2023-01-22,2023-01-16,2023-01-01,2023-01-01,2023-01-01,22,7,Sunday,Sun,S,3,Week 3,W3,2023-03,2023,2023-01-16,2023-01-22,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,22,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,22,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-23,2023-01-23,2023-01-23,2023-01-01,2023-01-01,2023-01-01,23,1,Monday,Mon,M,4,Week 4,W4,2023-04,2023,2023-01-23,2023-01-29,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,23,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,23,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-24,2023-01-24,2023-01-23,2023-01-01,2023-01-01,2023-01-01,24,2,Tuesday,Tue,T,4,Week 4,W4,2023-04,2023,2023-01-23,2023-01-29,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,24,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,24,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-25,2023-01-25,2023-01-23,2023-01-01,2023-01-01,2023-01-01,25,3,Wednesday,Wed,W,4,Week 4,W4,2023-04,2023,2023-01-23,2023-01-29,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,25,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,25,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-26,2023-01-26,2023-01-23,2023-01-01,2023-01-01,2023-01-01,26,4,Thursday,Thur,R,4,Week 4,W4,2023-04,2023,2023-01-23,2023-01-29,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,26,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,26,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-27,2023-01-27,2023-01-23,2023-01-01,2023-01-01,2023-01-01,27,5,Friday,Fri,F,4,Week 4,W4,2023-04,2023,2023-01-23,2023-01-29,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,27,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,27,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-28,2023-01-28,2023-01-23,2023-01-01,2023-01-01,2023-01-01,28,6,Saturday,Sat,S,4,Week 4,W4,2023-04,2023,2023-01-23,2023-01-29,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,28,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,28,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-29,2023-01-29,2023-01-23,2023-01-01,2023-01-01,2023-01-01,29,7,Sunday,Sun,S,4,Week 4,W4,2023-04,2023,2023-01-23,2023-01-29,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,29,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,29,2023-01-01,2023-12-31,TRUE,FALSE,FALSE,
2023-01-30,2023-01-30,2023-01-30,2023-01-01,2023-01-01,2023-01-01,30,1,Monday,Mon,M,5,Week 5,W5,2023-05,2023,2023-01-30,2023-02-05,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,30,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,30,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-01-31,2023-01-31,2023-01-30,2023-01-01,2023-01-01,2023-01-01,31,2,Tuesday,Tue,T,5,Week 5,W5,2023-05,2023,2023-01-30,2023-02-05,1,January,Jan,2023-01,2023-01-01,2023-01-31,1,31,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,31,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
2023-02-01,2023-02-01,2023-01-30,2023-02-01,2023-01-01,2023-01-01,1,3,Wednesday,Wed,W,5,Week 5,W5,2023-05,2023,2023-01-30,2023-02-05,2,February,Feb,2023-02,2023-02-01,2023-02-28,1,32,2023-1,Quarter 1,Q1,2023-01-01,2023-03-31,2023,32,2023-01-01,2023-12-31,FALSE,FALSE,FALSE,
